Time,Voltage1,Voltage2,Voltage3,Voltage4
0.0,656.88,567.5,562.25,572.13
5.04,684.25,556.38,568.13,571.5
10.09,629.0,565.0,569.25,560.75
15.13,635.88,569.38,564.5,568.63
20.18,684.13,559.88,565.88,574.63
25.22,655.63,560.13,569.5,564.0
30.27,616.88,567.63,566.88,561.5
35.31,665.25,566.75,563.0,574.0
40.36,674.0,556.63,568.75,568.13
45.4,617.5,566.88,567.38,561.0
50.45,662.5,567.75,563.5,573.75
55.49,681.5,556.25,568.63,570.25
60.54,626.38,565.75,569.0,560.25
65.58,642.13,569.5,563.75,570.5
70.63,687.25,558.13,567.25,574.5
75.67,634.25,564.5,569.75,561.25
80.72,645.0,569.13,563.88,570.38
85.76,683.75,556.75,568.88,571.38
90.81,619.38,567.13,568.0,561.0
95.85,669.5,566.0,564.25,574.0
